Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Patrick Mahomes,28,KAN,QB,4,4,4-0-0,104,149,69.8,1051,6,4.0,1,0.7,53,50.6,52,7.1,7.56,10.1,262.8,100.3,5,19,3.25,6.70,7.19,2,2,SB MVP,MahoPa00
2,Jared Goff,29,DET,QB,3,3,2-1-0,77,111,69.4,837,4,3.6,0,0.0,50,52.5,33,7.5,8.26,10.9,279.0,103.3,7,45,5.93,6.71,7.39,0,1,,GoffJa00
3,Brock Purdy,24,SFO,QB,3,3,2-1-0,66,108,61.1,774,3,2.8,1,0.9,38,45.5,51,7.2,7.31,11.7,258.0,88.3,4,20,3.57,6.73,6.87,1,2,,PurdBr00
4,Baker Mayfield,28,TAM,QB,2,2,1-1-0,48,77,62.3,686,6,7.8,2,2.6,31,49.4,56,8.9,9.30,14.3,343.0,106.3,8,60,9.41,7.36,7.72,0,0,,MayfBa00
5,Jordan Love,25,GNB,QB,2,2,1-1-0,37,55,67.3,466,5,9.1,2,3.6,21,50.9,46,8.5,8.65,12.6,233.0,108.6,0,0,0.00,8.47,8.65,0,0,,LoveJo03
6,C.J. Stroud,22,HOU,QB,2,2,1-1-0,35,54,64.8,449,3,5.6,0,0.0,18,42.6,76,8.3,9.43,12.8,224.5,109.3,0,0,0.00,8.31,9.43,0,0,,StroCJ00
7,Lamar Jackson,26,BAL,QB,2,2,1-1-0,36,59,61.0,424,3,5.1,1,1.7,21,47.0,54,7.2,7.44,11.8,212.0,92.8,7,46,10.61,5.73,5.95,0,0,,JackLa00
8,Dak Prescott,30,DAL,QB,1,1,0-1-0,41,60,68.3,403,3,5.0,2,3.3,25,56.3,47,6.7,6.22,9.8,403.0,89.8,4,16,6.25,6.05,5.58,0,0,,PresDa01
9,Josh Allen,27,BUF,QB,2,2,1-1-0,47,69,68.1,389,4,5.8,0,0.0,23,49.3,34,5.6,6.80,8.3,194.5,101.7,2,14,2.82,5.28,6.41,0,0,,AlleJo02
10,Matthew Stafford,35,LAR,QB,1,1,0-1-0,25,36,69.4,367,2,5.6,0,0.0,15,57.9,50,10.2,11.31,14.7,367.0,120.9,2,10,5.26,9.39,10.45,0,0,,StafMa00
11,Joe Flacco,38,CLE,QB,1,1,0-1-0,34,46,73.9,307,1,2.2,2,4.3,14,48.0,47,6.7,5.15,9.0,307.0,80.6,4,39,8.00,5.36,3.96,0,0,,FlacJo00
12,Jalen Hurts,25,PHI,QB,1,1,0-1-0,25,35,71.4,250,1,2.9,0,0.0,9,34.2,55,7.1,7.71,10.0,250.0,100.9,3,16,7.89,6.16,6.68,0,0,,HurtJa00
13,Mason Rudolph,28,PIT,QB,1,1,0-1-0,22,39,56.4,229,2,5.1,1,2.6,14,50.0,33,5.9,5.74,10.4,229.0,80.0,1,11,2.50,5.45,5.33,0,0,,RudoMa00
14,Tua Tagovailoa,25,MIA,QB,1,1,0-1-0,20,39,51.3,199,1,2.6,1,2.6,8,29.3,53,5.1,4.46,10.0,199.0,63.9,2,11,4.88,4.59,3.98,0,0,,TagoTu00
15,Jauan Jennings,26,SFO,WR,1,0,,1,1,100.0,21,1,100.0,0,0.0,1,100.0,21,21.0,41.00,21.0,21.0,158.3,0,0,0.00,21.00,41.00,0,0,,JennJa00
16,Davis Mills,25,HOU,QB,1,0,,1,1,100.0,6,0,0.0,0,0.0,0,,6,6.0,6.00,6.0,6.0,91.7,0,0,0.00,6.00,6.00,0,0,,MillDa02
