Rk,Player,Age,Team,Pos▲,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
75,Sam Darnold,26,SFO,QB,10,1,21,15,1,3,23.8,9,0.7,1.5,2.1,3,,DarnSa00
76,Tyson Bagent,23,CHI,QB,5,4,23,109,2,11,56.5,20,4.7,21.8,4.6,3,,BageTy00
77,Anthony Richardson,21,IND,QB,4,4,25,136,4,8,64.0,23,5.4,34.0,6.3,3,,RichAn03
78,Will Levis,24,TEN,QB,9,9,25,57,1,7,36.0,11,2.3,6.3,2.8,7,,LeviWi00
79,Deshaun Watson,28,CLE,QB,6,6,26,142,1,10,61.5,16,5.5,23.7,4.3,5,,WatsDe00
80,Mac Jones,25,NWE,QB,11,11,26,96,0,11,57.7,18,3.7,8.7,2.4,3,,JoneMa05
81,Easton Stick,28,LAC,QB,5,4,27,144,1,11,63.0,21,5.3,28.8,5.4,5,,SticEa00
82,Jake Browning,27,CIN,QB,9,7,27,127,3,12,63.0,21,4.7,14.1,3.0,3,,BrowJa08
83,Joe Burrow,27,CIN,QB,10,10,31,88,0,9,38.7,20,2.8,8.8,3.1,2,,BurrJo01
84,Jared Goff,29,DET,QB,17,17,32,21,2,5,21.9,11,0.7,1.2,1.9,6,,GoffJa00
85,Derek Carr,32,NOR,QB,17,17,32,40,0,4,25.0,10,1.3,2.4,1.9,7,,CarrDe02
86,Gardner Minshew II,27,IND,QB,17,13,34,100,3,7,29.4,23,2.9,5.9,2.0,8,PB,MinsGa00
87,Tua Tagovailoa,25,MIA,QB,17,17,35,74,0,5,20.0,9,2.1,4.4,2.1,13,PBAP CPoY-5,TagoTu00
88,Zach Wilson,24,NYJ,QB,12,11,36,211,0,7,41.7,20,5.9,17.6,3.0,11,,WilsZa00
89,Tommy DeVito,25,NYG,QB,9,6,36,195,1,7,44.4,26,5.4,21.7,4.0,2,,DeViTo00
90,Geno Smith,33,SEA,QB,15,15,37,155,1,10,40.5,25,4.2,10.3,2.5,5,PB,SmitGe00
91,Tyrod Taylor,34,NYG,QB,11,5,38,197,0,10,47.4,31,5.2,17.9,3.5,4,,TaylTy00
92,Bryce Young,22,CAR,QB,16,16,39,253,0,18,64.1,26,6.5,15.8,2.4,11,,YounBr01
93,C.J. Stroud,22,HOU,QB,15,15,39,167,3,17,59.0,16,4.3,11.1,2.6,8,PBAP MVP-8AP ORoY-1,StroCJ00
94,Brock Purdy,24,SFO,QB,16,16,39,144,2,15,53.8,17,3.7,9.0,2.4,6,PBAP MVP-4AP OPoY-6AP CPoY-6,PurdBr00
95,Daniel Jones,26,NYG,QB,6,6,40,206,1,15,52.5,17,5.2,34.3,6.7,4,,JoneDa05
96,Kenny Pickett,25,PIT,QB,12,12,42,54,1,12,38.1,11,1.3,4.5,3.5,2,,PickKe00
97,Kyler Murray,26,ARI,QB,8,8,44,244,3,15,59.1,33,5.5,30.5,5.5,7,AP CPoY-9,MurrKy00
98,Sam Howell,23,WAS,QB,17,17,48,263,5,19,50.0,24,5.5,15.5,2.8,4,,HoweSa00
99,Jordan Love,25,GNB,QB,17,17,50,247,4,16,44.0,37,4.9,14.5,2.9,9,,LoveJo03
100,Justin Herbert,25,LAC,QB,13,13,52,228,3,16,40.4,35,4.4,17.5,4.0,4,,HerbJu00
101,Desmond Ridder,24,ATL,QB,15,13,53,193,5,18,43.4,23,3.6,12.9,3.5,12,,RiddDe00
102,Dak Prescott,30,DAL,QB,17,17,55,242,2,21,52.7,22,4.4,14.2,3.2,4,PBAP-2AP MVP-2AP OPoY-5,PresDa01
103,Baker Mayfield,28,TAM,QB,17,17,62,163,1,16,35.5,31,2.6,9.6,3.6,8,PBAP CPoY-3,MayfBa00
104,Trevor Lawrence,24,JAX,QB,16,16,70,339,4,23,47.1,26,4.8,21.2,4.4,12,,LawrTr00
105,Patrick Mahomes,28,KAN,QB,16,16,75,389,0,27,50.7,25,5.2,24.3,4.7,5,PBAP MVP-7,MahoPa00
106,Joshua Dobbs,28,2TM,QB,13,12,77,421,6,31,49.4,44,5.5,32.4,5.9,14,,DobbJo00
107,Russell Wilson,35,DEN,QB,15,15,80,341,3,38,55.0,21,4.3,22.7,5.3,10,,WilsRu00
108,Josh Allen,27,BUF,QB,17,17,111,524,15,57,65.8,23,4.7,30.8,6.5,7,AP MVP-5AP OPoY-6,AlleJo02
109,Justin Fields,24,CHI,QB,13,13,124,657,4,43,52.4,39,5.3,50.5,9.5,10,,FielJu00
110,Lamar Jackson,26,BAL,QB,16,16,148,821,5,48,54.1,30,5.5,51.3,9.3,11,PBAP-1AP MVP-1AP OPoY-4AP CPoY-9,JackLa00
111,Jalen Hurts,25,PHI,QB,17,17,157,605,15,68,61.1,24,3.9,35.6,9.2,9,PB,HurtJa00
