Rk,Player,Age,Team,Pos▲,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
33,Logan Woodside,28,ATL,QB,1,0,1,6,0,0,100.0,6,6.0,6.0,1.0,0,,WoodLo00
34,Kyle Trask,25,TAM,QB,2,0,1,-1,0,0,0.0,-1,-1.0,-0.5,0.5,0,,TrasKy00
35,Nathan Peterman,29,CHI,QB,2,0,2,-4,0,0,0.0,-2,-2.0,-2.0,1.0,1,,PeteNa00
36,Davis Mills,25,HOU,QB,6,0,2,9,0,0,50.0,9,4.5,1.5,0.3,0,,MillDa02
37,Case Keenum,35,HOU,QB,2,2,2,1,0,0,0.0,1,0.5,0.5,1.0,1,,KeenCa00
38,Teddy Bridgewater,31,DET,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,,BridTe00
39,Brett Rypien,27,LAR,QB,2,1,3,19,0,1,66.7,8,6.3,9.5,1.5,2,,RypiBr00
40,Brian Hoyer,38,LVR,QB,3,1,3,-3,0,0,0.0,-1,-1.0,-1.0,1.0,0,,HoyeBr00
41,Andy Dalton,36,CAR,QB,3,1,3,12,0,2,66.7,10,4.0,4.0,1.0,0,,DaltAn00
42,Sean Clifford,25,GNB,QB,2,0,3,-2,0,0,0.0,,-0.7,-1.0,1.5,1,,ClifSe00
43,Jacoby Brissett,31,WAS,QB,3,0,3,19,0,0,66.7,10,6.3,6.3,1.0,0,,BrisJa00
44,Matt Barkley,33,JAX,QB,1,0,3,-3,0,0,0.0,-1,-1.0,-3.0,3.0,0,,BarkMa00
45,Tim Boyle,29,NYJ,QB,3,2,4,5,0,3,75.0,2,1.3,1.7,1.3,2,,BoylTi00
46,Jameis Winston,29,NOR,QB,7,0,5,-6,0,0,0.0,-1,-1.2,-0.9,0.7,0,,WinsJa00
47,Malik Willis,24,TEN,QB,3,0,5,21,0,1,40.0,11,4.2,7.0,1.7,1,,WillMa12
48,Drew Lock,27,SEA,QB,4,2,5,14,0,1,20.0,11,2.8,3.5,1.3,0,,LockDr00
49,Jaren Hall,25,MIN,QB,3,2,6,14,0,0,16.7,8,2.3,4.7,2.0,2,,HallJa00
50,Blaine Gabbert,34,KAN,QB,2,1,7,45,0,2,42.9,25,6.4,22.5,3.5,0,,GabbBl00
51,Jeff Driskel,30,CLE,QB,1,1,7,33,0,4,71.4,13,4.7,33.0,7.0,0,,DrisJe00
52,Mike White,28,MIA,QB,6,0,8,-9,0,0,0.0,,-1.1,-1.5,1.3,1,,WhitMi01
53,Clayton Tune,24,ARI,QB,7,1,8,30,1,3,62.5,11,3.8,4.3,1.1,2,,TuneCl00
54,Marcus Mariota,30,PHI,QB,3,0,8,52,0,6,87.5,17,6.5,17.3,2.7,1,,MariMa01
55,C.J. Beathard,30,JAX,QB,7,1,8,35,0,2,37.5,19,4.4,5.0,1.1,1,,BeatC.00
56,Jarrett Stidham,27,DEN,QB,3,2,9,8,0,1,22.2,4,0.9,2.7,3.0,1,,StidJa00
57,Joe Flacco,38,CLE,QB,5,5,9,2,0,3,33.3,3,0.2,0.4,1.8,4,AP CPoY-1,FlacJo00
58,Mason Rudolph,28,PIT,QB,4,3,10,8,0,4,40.0,7,0.8,2.0,2.5,3,,RudoMa00
59,Nick Mullens,28,MIN,QB,5,3,10,25,0,4,50.0,6,2.5,5.0,2.0,2,,MullNi00
60,Trevor Siemian,32,NYJ,QB,5,3,11,40,0,5,54.5,13,3.6,8.0,2.2,5,,SiemTr00
61,Cooper Rush,30,DAL,QB,7,0,12,-5,0,1,8.3,6,-0.4,-0.7,1.7,0,,RushCo00
62,P.J. Walker,28,CLE,QB,6,2,13,30,0,3,46.2,9,2.3,5.0,2.2,4,,WalkPh00
63,Kyle Allen,27,BUF,QB,7,0,13,-13,0,0,0.0,,-1.0,-1.9,1.9,0,,AlleKy00
64,Dorian Thompson-Robinson,24,CLE,QB,8,3,14,65,0,4,35.7,12,4.6,8.1,1.8,2,,ThomDo02
65,Kirk Cousins,35,MIN,QB,8,8,14,25,0,6,50.0,10,1.8,3.1,1.8,7,,CousKi00
66,Tyler Huntley,25,BAL,QB,5,1,15,55,0,3,40.0,11,3.7,11.0,3.0,0,,HuntTy01
67,Taylor Heinicke,30,ATL,QB,5,4,15,124,1,5,53.3,24,8.3,24.8,3.0,1,,HeinTa00
68,Mitchell Trubisky,29,PIT,QB,5,2,16,54,2,6,50.0,15,3.4,10.8,3.2,1,,TrubMi00
69,Bailey Zappe,24,NWE,QB,10,6,17,83,1,6,47.1,18,4.9,8.3,1.7,2,,ZappBa00
70,Carson Wentz,31,LAR,QB,2,1,17,56,1,4,58.8,12,3.3,28.0,8.5,0,,WentCa00
71,Ryan Tannehill,35,TEN,QB,10,8,17,74,1,4,35.3,23,4.4,7.4,1.7,4,,TannRy00
72,Aidan O'Connell,25,LVR,QB,11,10,17,11,1,7,41.2,3,0.6,1.0,1.5,4,,OConAi00
73,Jimmy Garoppolo,32,LVR,QB,7,6,20,39,0,6,30.0,9,2.0,5.6,2.9,1,,GaroJi00
74,Matthew Stafford,35,LAR,QB,15,15,21,65,0,4,33.3,9,3.1,4.3,1.4,0,PBAP MVP-8AP CPoY-4,StafMa00
