Rk,Player,Age,Team,Pos▲,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
3,Chad Henne,37,KAN,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,0,,HennCh01
4,Kirk Cousins,34,MIN,QB,1,1,1,1,1,1,100.0,1,1.0,1.0,1.0,0,,CousKi00
5,Skylar Thompson,25,MIA,QB,1,1,2,3,0,0,0.0,2,1.5,3.0,2.0,0,,ThomSk00
6,Gardner Minshew II,26,PHI,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,,MinsGa00
7,Josh Johnson,36,SFO,QB,1,0,2,2,0,1,50.0,2,1.0,2.0,2.0,1,,JohnJo05
8,Justin Herbert,24,LAC,QB,1,1,3,12,0,1,33.3,13,4.0,12.0,3.0,1,,HerbJu00
9,Geno Smith,32,SEA,QB,1,1,4,28,0,2,75.0,11,7.0,28.0,4.0,1,,SmitGe00
10,Trevor Lawrence,23,JAX,QB,2,2,4,34,0,3,100.0,12,8.5,17.0,2.0,0,,LawrTr00
11,Brock Purdy,23,SFO,QB,2,2,7,24,1,3,42.9,13,3.4,12.0,3.5,0,,PurdBr00
12,Tyler Huntley,24,BAL,QB,1,1,9,54,0,3,44.4,35,6.0,54.0,9.0,1,,HuntTy01
13,Dak Prescott,29,DAL,QB,2,2,11,46,1,4,63.6,11,4.2,23.0,5.5,0,,PresDa01
14,Patrick Mahomes,27,KAN,QB,3,3,12,60,0,4,50.0,26,5.0,20.0,4.0,1,SB MVP,MahoPa00
15,Josh Allen,26,BUF,QB,2,2,12,46,1,5,66.7,12,3.8,23.0,6.0,3,,AlleJo02
16,Joe Burrow,26,CIN,QB,3,3,15,70,1,6,46.7,21,4.7,23.3,5.0,0,,BurrJo01
17,Daniel Jones,25,NYG,QB,2,2,23,102,0,9,60.9,15,4.4,51.0,11.5,1,,JoneDa05
18,Jalen Hurts,24,PHI,QB,3,3,35,143,5,16,60.0,28,4.1,47.7,11.7,2,,HurtJa00
