Rk,Player,Age,Team,Pos▲,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
32,Skylar Thompson,27,MIA,QB,3,1,1,4,0,0,0.0,4,4.0,1.3,0.3,2,,ThomSk00
33,Chris Oladokun,27,KAN,QB,1,0,1,5,0,0,0.0,5,5.0,5.0,1.0,1,,OladCh00
34,Sam Howell,24,SEA,QB,2,0,1,2,0,0,0.0,2,2.0,1.0,0.5,0,,HoweSa00
35,Bailey Zappe,25,CLE,QB,1,1,2,2,0,0,0.0,3,1.0,2.0,2.0,0,,ZappBa00
36,Taylor Heinicke,31,LAC,QB,4,0,2,20,0,1,50.0,12,10.0,5.0,0.5,0,,HeinTa00
37,Jimmy Garoppolo,33,LAR,QB,1,1,2,5,0,0,50.0,5,2.5,5.0,2.0,0,,GaroJi00
38,Jake Browning,28,CIN,QB,3,0,2,-2,0,0,0.0,,-1.0,-0.7,0.7,0,,BrowJa08
39,Tim Boyle,30,2TM,QB,3,0,3,9,0,1,66.7,6,3.0,3.0,1.0,0,,BoylTi00
40,Carson Wentz,32,KAN,QB,3,1,3,0,0,0,0.0,,0.0,0.0,1.0,0,,WentCa00
41,Tyrod Taylor,35,NYJ,QB,2,0,3,13,0,0,66.7,7,4.3,6.5,1.5,1,,TaylTy00
42,Nick Mullens,29,MIN,QB,4,0,3,-2,0,0,0.0,,-0.7,-0.5,0.8,0,,MullNi00
43,Davis Mills,26,HOU,QB,4,0,3,11,0,1,66.7,9,3.7,2.8,0.8,0,,MillDa02
44,Brandon Allen,32,SFO,QB,3,1,3,4,0,0,0.0,6,1.3,1.3,1.0,2,,AlleBr00
45,Jarrett Stidham,28,DEN,QB,3,0,4,5,0,1,25.0,8,1.3,1.7,1.3,0,,StidJa00
46,Josh Johnson,38,BAL,QB,6,0,4,1,0,0,0.0,2,0.3,0.2,0.7,0,,JohnJo05
47,Kyle Trask,26,TAM,QB,4,0,5,-4,0,0,0.0,,-0.8,-1.0,1.3,0,,TrasKy00
48,Tanner McKee,24,PHI,QB,2,1,5,-1,0,1,20.0,2,-0.2,-0.5,2.5,0,,McKeTa01
49,Hendon Hooker,26,DET,QB,3,0,5,2,0,1,20.0,3,0.4,0.7,1.7,0,,HookHe00
50,Tyson Bagent,24,CHI,QB,4,0,6,-7,0,0,0.0,,-1.2,-1.8,1.5,0,,BageTy00
51,Clayton Tune,25,ARI,QB,6,0,7,-4,0,2,28.6,2,-0.6,-0.7,1.2,1,,TuneCl00
52,Michael Penix,24,ATL,QB,5,3,7,11,1,1,14.3,5,1.6,2.2,1.4,2,,PeniMi00
53,Tommy DeVito,26,NYG,QB,3,2,8,32,0,1,25.0,17,4.0,10.7,2.7,0,,DeViTo00
54,Desmond Ridder,25,LVR,QB,6,1,9,36,0,2,44.4,11,4.0,6.0,1.5,3,,RiddDe00
55,Kenny Pickett,26,PHI,QB,5,1,9,15,1,3,33.3,8,1.7,3.0,1.8,1,,PickKe00
56,Joe Flacco,39,IND,QB,8,6,9,26,0,2,22.2,21,2.9,3.3,1.1,4,,FlacJo00
57,Joshua Dobbs,29,SFO,QB,2,1,9,24,2,2,33.3,8,2.7,12.0,4.5,2,,DobbJo00
58,Joe Milton,24,NWE,QB,1,0,10,16,1,4,50.0,9,1.6,16.0,10.0,1,,MiltJo00
59,Trey Lance,24,DAL,QB,4,1,11,41,0,3,45.5,11,3.7,10.3,2.8,0,,LancTr00
60,Jake Haener,25,NOR,QB,8,1,11,22,0,0,18.2,9,2.0,2.8,1.4,0,,HaenJa00
61,Andy Dalton,37,CAR,QB,6,5,11,34,0,2,36.4,18,3.1,5.7,1.8,2,,DaltAn00
62,Dak Prescott,31,DAL,QB,8,8,13,54,1,5,61.5,22,4.2,6.8,1.6,4,,PresDa01
63,Jacoby Brissett,32,NWE,QB,8,5,15,62,0,5,53.3,16,4.1,7.8,1.9,4,,BrisJa00
64,Mitchell Trubisky,30,BUF,QB,9,0,17,1,0,1,11.8,8,0.1,0.1,1.9,1,,TrubMi00
65,Tua Tagovailoa,26,MIA,QB,11,11,17,49,0,5,41.2,13,2.9,4.5,1.5,7,,TagoTu00
66,Derek Carr,33,NOR,QB,10,10,17,71,1,4,52.9,13,4.2,7.1,1.7,3,,CarrDe02
