Rk,Player,Age,Team,Pos▲,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
67,Spencer Rattler,24,NOR,QB,7,6,18,146,0,7,72.2,28,8.1,20.9,2.6,5,,RattSp00
68,Marcus Mariota,31,WAS,QB,3,0,18,92,1,6,50.0,33,5.1,30.7,6.0,0,,MariMa01
69,Drew Lock,28,NYG,QB,8,5,18,133,2,9,50.0,28,7.4,16.6,2.3,5,,LockDr00
70,Gardner Minshew II,28,LVR,QB,10,9,19,58,0,5,36.8,11,3.1,5.8,1.9,6,,MinsGa00
71,Malik Willis,25,GNB,QB,7,2,20,138,1,6,50.0,29,6.9,19.7,2.9,1,,WillMa12
72,Dorian Thompson-Robinson,25,CLE,QB,7,2,21,122,0,9,61.9,34,5.8,17.4,3.0,3,,ThomDo02
73,Aidan O'Connell,26,LVR,QB,9,7,21,30,1,10,52.4,13,1.4,3.3,2.3,2,,OConAi00
74,Aaron Rodgers,41,NYJ,QB,17,17,22,107,0,7,40.9,18,4.9,6.3,1.3,5,AP CPoY-7,RodgAa00
75,Kirk Cousins,36,ATL,QB,14,14,23,0,0,2,13.0,,0.0,0.0,1.6,13,AP CPoY-13,CousKi00
76,Jameis Winston,30,CLE,QB,12,7,25,83,1,17,76.0,13,3.3,6.9,2.1,5,,WinsJa00
77,Mason Rudolph,29,TEN,QB,8,5,25,106,1,13,60.0,14,4.2,13.3,3.1,5,,RudoMa00
78,Jordan Love,26,GNB,QB,15,15,25,83,1,9,44.0,14,3.3,5.5,1.7,4,,LoveJo03
79,Cooper Rush,31,DAL,QB,12,8,26,18,0,5,26.9,9,0.7,1.5,2.2,9,,RushCo00
80,Trevor Lawrence,25,JAX,QB,10,10,26,119,3,13,57.7,33,4.6,11.9,2.6,3,,LawrTr00
81,Tyler Huntley,26,MIA,QB,5,5,26,135,2,10,50.0,20,5.2,27.0,5.2,6,,HuntTy01
82,Mac Jones,26,JAX,QB,10,7,28,92,1,12,50.0,13,3.3,9.2,2.8,2,,JoneMa05
83,Matthew Stafford,36,LAR,QB,16,16,30,41,0,10,36.7,15,1.4,2.6,1.9,6,,StafMa00
84,Deshaun Watson,29,CLE,QB,7,7,31,148,1,8,41.9,16,4.8,21.1,4.4,5,,WatsDe00
85,Jared Goff,30,DET,QB,17,17,35,56,0,9,34.3,10,1.6,3.3,2.1,6,PBAP MVP-5AP OPoY-9,GoffJa00
86,Joe Burrow,28,CIN,QB,17,17,42,201,2,16,47.6,47,4.8,11.8,2.5,11,PBAP MVP-4AP OPoY-5AP CPoY-1,BurrJo01
87,Bryce Young,23,CAR,QB,14,12,43,249,6,15,53.5,34,5.8,17.8,3.1,5,,YounBr01
88,Russell Wilson,36,PIT,QB,11,11,43,155,2,16,46.5,19,3.6,14.1,3.9,5,PBAP CPoY-14,WilsRu00
89,Will Levis,25,TEN,QB,12,12,45,183,0,20,48.9,21,4.1,15.3,3.8,10,,LeviWi00
90,C.J. Stroud,23,HOU,QB,17,17,52,233,0,14,38.5,25,4.5,13.7,3.1,6,,StroCJ00
91,Geno Smith,34,SEA,QB,17,17,53,272,2,17,35.8,34,5.1,16.0,3.1,9,,SmitGe00
92,Drake Maye,22,NWE,QB,13,12,54,421,2,22,64.8,41,7.8,32.4,4.2,9,PBAP ORoY-8,MayeDr00
93,Patrick Mahomes,29,KAN,QB,16,16,58,307,2,22,50.0,33,5.3,19.2,3.6,2,AP MVP-6AP OPoY-17,MahoPa00
94,Baker Mayfield,29,TAM,QB,17,17,60,378,3,24,51.7,28,6.3,22.2,3.5,13,PBAP MVP-11AP OPoY-11,MayfBa00
95,Justin Fields,25,PIT,QB,10,6,62,289,5,19,54.8,30,4.7,28.9,6.2,6,,FielJu00
96,Brock Purdy,25,SFO,QB,15,15,66,323,5,33,63.6,16,4.9,21.5,4.4,7,,PurdBr00
97,Daniel Jones,27,NYG,QB,10,10,67,265,2,26,59.7,24,4.0,26.5,6.7,4,,JoneDa05
98,Sam Darnold,27,MIN,QB,17,17,67,212,1,23,41.8,19,3.2,12.5,3.9,8,PBAP MVP-10AP CPoY-3,DarnSa00
99,Justin Herbert,26,LAC,QB,17,17,69,306,2,23,46.4,41,4.4,18.0,4.1,6,AP MVP-9AP CPoY-12,HerbJu00
100,Kyler Murray,27,ARI,QB,17,17,78,572,5,27,52.6,50,7.3,33.6,4.6,8,AP CPoY-10,MurrKy00
101,Caleb Williams,23,CHI,QB,17,17,81,489,0,27,51.9,24,6.0,28.8,4.8,10,AP ORoY-10,WillCa03
102,Anthony Richardson,22,IND,QB,11,11,86,499,6,34,58.1,29,5.8,45.4,7.8,9,AP CPoY-25,RichAn03
103,Bo Nix,24,DEN,QB,17,17,92,430,4,41,53.3,32,4.7,25.3,5.4,3,AP ORoY-3,NixxBo00
104,Josh Allen,28,BUF,QB,17,17,102,531,12,52,64.7,30,5.2,31.2,6.0,5,PBAP-2AP MVP-1AP OPoY-6,AlleJo02
105,Lamar Jackson,27,BAL,QB,17,17,139,915,4,47,56.1,48,6.6,53.8,8.2,10,PBAP-1AP MVP-2AP OPoY-2,JackLa00
106,Jayden Daniels,24,WAS,QB,17,17,148,891,6,55,62.8,46,6.0,52.4,8.7,5,PBAP MVP-7AP OPoY-17AP ORoY-1,DaniJa02
107,Jalen Hurts,26,PHI,QB,15,15,150,630,14,62,55.3,35,4.2,42.0,10.0,9,,HurtJa00
