Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
77,Braden Mann,26,PHI,P,15,0,,1,1,100.0,28,0,0.0,0,0.0,1,100.0,28,28.0,28.00,28.0,1.9,118.7,,0,0,0.00,28.00,28.00,0,0,,MannBr01
78,Logan Woodside,28,ATL,QB,1,0,,3,4,75.0,27,0,0.0,1,25.0,3,60.0,12,6.8,-4.50,9.0,27.0,53.1,4.4,1,7,20.00,4.00,-5.00,0,0,,WoodLo00
79,Drake London,22,ATL,WR,16,16,,1,1,100.0,22,0,0.0,0,0.0,1,100.0,22,22.0,22.00,22.0,1.4,118.7,99.9,0,0,0.00,22.00,22.00,0,0,,LondDr00
80,A.J. McCarron,33,CIN,QB,2,0,,4,5,80.0,19,0,0.0,0,0.0,0,,10,3.8,3.80,4.8,9.5,82.5,1.6,1,9,16.67,1.67,1.67,0,0,,McCaA.00
81,Thomas Morstead,37,NYJ,P,17,0,,1,1,100.0,18,0,0.0,0,0.0,1,100.0,18,18.0,18.00,18.0,1.1,118.7,,0,0,0.00,18.00,18.00,0,0,,MorsTh00
82,Kenneth Gainwell,24,PHI,RB,16,2,,1,1,100.0,17,0,0.0,0,0.0,1,100.0,17,17.0,17.00,17.0,1.1,118.7,98.9,0,0,0.00,17.00,17.00,0,0,,GainKe00
83,Derrick Henry,29,TEN,RB,17,17,,2,3,66.7,14,2,66.7,0,0.0,2,66.7,12,4.7,18.00,7.0,0.8,116.7,94.5,0,0,0.00,4.67,18.00,0,0,PB,HenrDe00
84,Dontayvion Wicks,22,GNB,WR,15,6,,1,1,100.0,14,0,0.0,0,0.0,1,100.0,14,14.0,14.00,14.0,0.9,118.7,94.3,0,0,0.00,14.00,14.00,0,0,,WickDo00
85,Logan Cooke,28,JAX,P,17,0,,1,1,100.0,13,0,0.0,0,0.0,1,100.0,13,13.0,13.00,13.0,0.8,118.7,,0,0,0.00,13.00,13.00,0,0,,CookLo00
86,Jakobi Meyers,27,LVR,WR,16,16,,2,3,66.7,12,1,33.3,0,0.0,1,66.7,9,4.0,10.67,6.0,0.8,113.9,39.0,0,0,0.00,4.00,10.67,0,0,,MeyeJa01
87,Tommy Townsend,27,KAN,P,17,0,,1,1,100.0,11,0,0.0,0,0.0,1,100.0,11,11.0,11.00,11.0,0.6,112.5,,0,0,0.00,11.00,11.00,0,0,,TownTo01
88,Johnny Hekker,33,CAR,P,17,0,,1,1,100.0,7,0,0.0,0,0.0,0,,7,7.0,7.00,7.0,0.4,95.8,,0,0,0.00,7.00,7.00,0,0,,HekkJo00
89,Devin Singletary,26,HOU,RB,17,10,,1,1,100.0,6,1,100.0,0,0.0,1,100.0,6,6.0,26.00,6.0,0.4,131.2,100.0,0,0,0.00,6.00,26.00,0,0,,SingDe00
90,Dyami Brown,24,WAS,WR,17,1,,1,1,100.0,4,0,0.0,0,0.0,0,,4,4.0,4.00,4.0,0.2,83.3,2.2,0,0,0.00,4.00,4.00,0,0,,BrowDy00
91,Jerick McKinnon,31,KAN,RB,12,0,,1,1,100.0,4,1,100.0,0,0.0,1,100.0,4,4.0,24.00,4.0,0.3,122.9,89.8,0,0,0.00,4.00,24.00,0,0,,McKiJe00
92,De'Von Achane,22,MIA,RB,11,4,,0,0,,0,0,,0,,0,,,,,,0.0,,0.1,1,6,100.00,-6.00,-6.00,0,0,,AchaDe00
93,Cam Akers,24,MIN,RB,6,0,,0,0,,0,0,,0,,0,,,,,,0.0,,,1,7,100.00,-7.00,-7.00,0,0,,AkerCa00
94,Tyler Boyd,29,CIN,WR,17,13,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,BoydTy00
95,Parris Campbell,26,NYG,WR,12,3,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,8,100.00,-8.00,-8.00,0,0,,CampPa00
